domain,task,encoder,num_samples,train_size,val_size,test_size,num_classes,min_class_frac,task_type,source,knn_accuracy,linear_accuracy,mlp_accuracy,tabicl_zeroshot_accuracy,xgboost_accuracy,knn_auroc,linear_auroc,mlp_auroc,tabicl_zeroshot_auroc,xgboost_auroc
audio,audio_urbansound8k,clap_general,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.89,0.88,0.8875,0.8775,0.8475,0.9804664200042466,0.9880539475568735,0.9889756241217217,0.9909597355227449,0.9849249523421021
audio,audio_urbansound8k,wavlm_base_plus,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.535,0.6175,0.635,0.63,0.595,0.8502549241004568,0.9041357038466202,0.9182955943662605,0.9273722622764744,0.9057814320860771
audio,audio_urbansound8k,whisper_large_v3_turbo,2000,1200,400,400,10,0.042,multiclass,HuggingFace (danavery/urbansound8K),0.6225,0.7025,0.7025,0.6475,0.6625,0.8919570378116564,0.9457302277790577,0.9511292167784372,0.9316633831939389,0.9353502470186387
audio,audio_voxforge_lang,ast_audioset,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.175,0.275,0.225,0.25,0.25,0.600161044531449,0.6349207343922417,0.6194577338511161,0.5780384729649435,0.6064386114294202
audio,audio_voxforge_lang,clap_general,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.325,0.425,0.4,0.375,0.275,0.7154968739389695,0.7096817439096851,0.7315520687441643,0.7212914995543672,0.5907595187696292
audio,audio_voxforge_lang,wavlm_base_plus,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),0.425,0.6,0.6,0.425,0.375,0.7677212646422206,0.8607591407775231,0.8669381512074529,0.804522987225193,0.7057554006451067
audio,audio_voxforge_lang,whisper_large_v3_turbo,200,120,40,40,6,0.135,multiclass,HuggingFace (DynamicSuperb/LanguageIdentification_VoxForge),1.0,1.0,1.0,1.0,0.725,1.0,1.0,1.0,1.0,0.9430090824208471
graphs,graph_aids,pyg_gat,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.8325,0.785,0.84,0.905,0.8675,0.78455078125,0.7522265624999999,0.8734375000000001,0.96048828125,0.9073046875
graphs,graph_aids,pyg_gcn,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.9175,0.8325,0.885,0.86,0.9425,0.8823828125,0.8699609374999999,0.945546875,0.8222265625,0.9616015625
graphs,graph_aids,pyg_gin,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.99,0.995,0.9925,1.0,1.0,0.9872265625000001,1.0,0.9999218750000001,1.0,1.0
graphs,graph_aids,pyg_sage,2000,1200,400,400,2,0.2,binary,PyG TUDataset (AIDS),0.9075,0.82,0.8925,0.545,0.9475,0.8770703125,0.8485546875000001,0.9461328125,0.8088671875000001,0.954765625
graphs,graph_bzr,pyg_gat,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8135593220338984,0.8135593220338984,0.7457627118644068,0.8305084745762712,0.7627118644067796,0.7978723404255319,0.7730496453900709,0.7056737588652482,0.8670212765957447,0.7960992907801419
graphs,graph_bzr,pyg_gcn,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8135593220338984,0.8813559322033898,0.864406779661017,0.8135593220338984,0.8305084745762712,0.8918439716312057,0.9131205673758865,0.9432624113475178,0.6879432624113475,0.8723404255319149
graphs,graph_bzr,pyg_gin,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8305084745762712,0.847457627118644,0.847457627118644,0.7966101694915254,0.8135593220338984,0.8138297872340426,0.8581560283687943,0.851063829787234,0.7278368794326241,0.8324468085106383
graphs,graph_bzr,pyg_sage,405,287,59,59,2,0.2123,,TUDataset (BZR),0.8305084745762712,0.8135593220338984,0.8305084745762712,0.7796610169491526,0.847457627118644,0.8705673758865248,0.8439716312056738,0.8953900709219857,0.6391843971631206,0.8936170212765957
graphs,graph_cox2,pyg_gat,467,329,69,69,2,0.2184,,TUDataset (COX2),0.7971014492753623,0.8115942028985508,0.8115942028985508,0.8260869565217391,0.8115942028985508,0.6567901234567902,0.8135802469135802,0.762962962962963,0.7166666666666667,0.6074074074074074
graphs,graph_cox2,pyg_gcn,467,329,69,69,2,0.2184,,TUDataset (COX2),0.8405797101449275,0.8115942028985508,0.855072463768116,0.34782608695652173,0.8405797101449275,0.6771604938271605,0.7728395061728395,0.6617283950617284,0.47962962962962963,0.7814814814814814
graphs,graph_cox2,pyg_gin,467,329,69,69,2,0.2184,,TUDataset (COX2),0.7681159420289855,0.8260869565217391,0.7971014492753623,0.782608695652174,0.8260869565217391,0.6969135802469136,0.7395061728395061,0.6876543209876543,0.6814814814814815,0.8296296296296296
graphs,graph_cox2,pyg_sage,467,329,69,69,2,0.2184,,TUDataset (COX2),0.8405797101449275,0.8405797101449275,0.855072463768116,0.6521739130434783,0.8260869565217391,0.760493827160494,0.8617283950617284,0.7864197530864199,0.654320987654321,0.7641975308641975
graphs,graph_dd,pyg_gat,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.6313559322033898,0.6398305084745762,0.6271186440677966,0.7542372881355932,0.690677966101695,0.6579025439442261,0.5986798190313728,0.6052807238745086,0.8098716902766447,0.768226655788771
graphs,graph_dd,pyg_gcn,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.673728813559322,0.6440677966101694,0.597457627118644,0.6949152542372882,0.7245762711864406,0.6997700808425424,0.6626863457687457,0.625454275754654,0.7684862419342876,0.7685233256693614
graphs,graph_dd,pyg_gin,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.7669491525423728,0.7033898305084746,0.7542372881355932,0.673728813559322,0.7457627118644068,0.8079433360528072,0.7562856930950086,0.8214047318845954,0.7194244604316546,0.7763850775050063
graphs,graph_dd,pyg_sage,1178,706,236,236,2,0.4134,binary,PyG TUDataset (DD),0.6016949152542372,0.5677966101694916,0.6313559322033898,0.6610169491525424,0.7203389830508474,0.64114069569087,0.5310390862567678,0.6105466142549877,0.7467551731810428,0.7937402655195431
graphs,graph_dhfr,pyg_gat,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6842105263157895,0.5657894736842105,0.4934210526315789,0.6776315789473685,0.6710526315789473,0.6610169491525423,0.5567705485693457,0.49097867687260793,0.6997448514671042,0.6610169491525423
graphs,graph_dhfr,pyg_gcn,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6776315789473685,0.6973684210526315,0.5921052631578947,0.5855263157894737,0.6776315789473685,0.6718607618006196,0.7213413522872243,0.5427373792600693,0.5161290322580645,0.7032987060324404
graphs,graph_dhfr,pyg_gin,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6842105263157895,0.7171052631578947,0.631578947368421,0.5657894736842105,0.6644736842105263,0.6947330052852196,0.7585201385092036,0.6927282668124659,0.6005102970657918,0.7257153271368689
graphs,graph_dhfr,pyg_sage,756,453,151,152,2,0.3902,binary,PyG TUDataset (DHFR),0.6907894736842105,0.7236842105263158,0.5986842105263158,0.5328947368421053,0.6513157894736842,0.6885365409148898,0.7760160379077821,0.6333151084381264,0.5111171860761801,0.6965554948059048
graphs,graph_enzymes,pyg_gat,600,360,120,120,6,0.1667,multiclass,PyG TUDataset (ENZYMES),0.25833333333333336,0.19166666666666668,0.225,0.3,0.25,0.636875,0.5005000000000001,0.6428333333333335,0.6631666666666668,0.6340833333333333
